Model,Sampler,Imbalance ratio,loan_amnt,term,installment,emp_length,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies,Individual application,verification_status_Source Verified,verification_status_Verified,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding,initial_list_status_w,home_ownership_MORTGAGE,home_ownership_NONE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,addr_state_AL,addr_state_AR,addr_state_AZ,addr_state_CA,addr_state_CO,addr_state_CT,addr_state_DC,addr_state_DE,addr_state_FL,addr_state_GA,addr_state_HI,addr_state_IA,addr_state_ID,addr_state_IL,addr_state_IN,addr_state_KS,addr_state_KY,addr_state_LA,addr_state_MA,addr_state_MD,addr_state_ME,addr_state_MI,addr_state_MN,addr_state_MO,addr_state_MS,addr_state_MT,addr_state_NC,addr_state_ND,addr_state_NE,addr_state_NH,addr_state_NJ,addr_state_NM,addr_state_NV,addr_state_NY,addr_state_OH,addr_state_OK,addr_state_OR,addr_state_PA,addr_state_RI,addr_state_SC,addr_state_SD,addr_state_TN,addr_state_TX,addr_state_UT,addr_state_VA,addr_state_VT,addr_state_WA,addr_state_WI,addr_state_WV,addr_state_WY,credit_history_yrs,fico_mid
XGBClassifier,Baseline,0.01,0.3785575032234192,0.4493219256401062,0.5035398602485657,0.0763942897319793,0.1251219660043716,0.1471801698207855,0.0207882840186357,0.1214125528931617,0.1255989223718643,0.0190643221139907,0.1226083189249038,0.1083194464445114,0.1072408556938171,0.0980608239769935,0.0083801597356796,0.0,0.0620221979916095,0.0497641712427139,0.0508874282240867,0.0155346952378749,0.0,0.0103697134181857,0.0012806201120838,0.002126693027094,0.008163234218955,0.0049873422831296,0.0196086224168539,0.0,0.0080238729715347,0.0001443568180548,0.0,0.0319512225687503,0.0722039714455604,0.0,0.0,0.006688758265227,0.0551174879074096,0.0065552950836718,0.0016857692971825,0.0022421868052333,0.0093190781772136,0.0065385461784899,0.0051136845722794,3.927598663722165e-05,0.0004269507480785,0.0088849971070885,0.0064188432879745,0.0023803845979273,0.0,0.0,0.0039834706112742,0.0015417743707075,0.0032455876935273,0.0037214786279946,0.0008040317916311,0.00262211705558,0.0087437340989708,0.0,0.0012131502153351,0.0022831093519926,0.0038279434666037,0.0015346109867095,4.597347651724704e-05,0.0014000642113387,0.0,0.0007553359610028,0.0004564722767099,0.0038119449745863,0.0033717406913638,0.003136268351227,0.017599020153284,0.0045451428741216,0.0036725611425936,0.006383734755218,0.003654709784314,0.0004232205392327,0.0102885151281952,0.0,0.0008719381876289,0.0083542102947831,0.0005302082863636,0.0034711447078734,0.0001455652236472,0.0116483382880687,0.0006105080829001,0.0004666305612772,0.0003305158752482,0.1041508093476295,0.2290310114622116
XGBClassifier,SMOTEENN,0.01,0.1653296798467636,0.4656403362751007,0.1994729787111282,0.7190295457839966,0.0893031880259513,0.1643763035535812,0.1946941167116165,0.5212879776954651,0.451503187417984,0.0911604389548301,0.1052351593971252,0.0867136195302009,0.1545533984899521,0.4258013069629669,0.010785661637783,0.0,0.1433400213718414,0.1279519200325012,0.0201919693499803,0.0970490649342536,0.0,0.0138403261080384,0.0001435640297131,0.0004532652092166,0.0069728656671941,0.0064187473617494,0.0259424615651369,0.0,0.0067817396484315,8.390340371988714e-05,0.0006032591336406,0.2318937331438064,0.0297794584184885,0.0,0.0,0.0219685807824134,0.0879260078072547,0.00333016901277,0.00051048892783,0.0030939399730414,0.0745866745710372,0.0064169359393417,0.0059485943056643,7.193197234300897e-05,1.5903593521215953e-05,0.0274294260889291,0.0026686971541494,0.0009976758155971,0.0,0.0001708400232018,0.0061986553482711,0.0002979239216074,0.002169138751924,0.0011461335234344,0.0013242565328255,0.0031020778696984,0.0121274702250957,0.0006017923587933,0.0007132748723961,0.0011704107746481,0.0015530866803601,0.0002453801571391,3.7188074202276766e-05,0.0055959168821573,0.0,0.0001993441983358,0.0003646975092124,0.005367855541408,4.498276030062698e-05,0.0022333778906613,0.0626075789332389,0.0097213881090283,0.0014663428300991,0.005822729319334,0.0043022027239203,7.809003363945521e-06,0.008317875675857,0.0,0.000305114488583,0.0257764607667922,0.0011690858518704,0.0034311283379793,7.657436799490824e-05,0.0072093303315341,0.0007229902548715,0.0003555294824764,3.322661723359488e-05,0.0545883029699325,0.750579833984375
XGBClassifier,KMeansSMOTE,0.01,0.1830114722251892,0.931660771369934,0.2877138257026672,0.7103856801986694,0.0945873260498046,0.1536725163459777,0.1905953735113144,0.3996940553188324,0.4395496845245361,0.0886551067233085,0.1027539446949958,0.088607333600521,0.1167952716350555,0.4021624624729156,0.0129796871915459,0.0,0.1003037542104721,0.1003172993659973,0.0096728149801492,0.1116390898823738,0.0,0.0087485797703266,0.0001121216846513,0.0014202715829014,0.0044879433698952,0.0052660391665995,0.0208307914435863,0.0,0.001796375378035,0.0004871887795161,0.0001614516222616,0.1958855837583542,0.029907751828432,0.0,0.0,0.0355130061507225,0.2190192639827728,0.0041405614465475,0.0032536815851926,0.0056557790376245,0.0815594419836998,0.0168407969176769,0.003713829210028,0.0003156358143314,0.00051393173635,0.050635889172554,0.0053319381549954,0.003437673440203,0.0,0.0001884109224192,0.0194845143705606,0.0062718172557652,0.0154065191745758,0.0058161495253443,0.0065079643391072,0.0134276496246457,0.0046046683564782,3.7389581848401576e-05,0.0060792095027863,0.0033376310020685,0.0009965903591364,0.0,0.0,0.0153338024392724,0.0003744988935068,0.0,0.0009772242046892,0.0089613609015941,0.0002528634795453,0.0044762566685676,0.07793939858675,0.0239782482385635,0.0009733813931234,0.0094483187422156,0.017631571739912,0.0102503132075071,0.0154773760586977,0.0002755535242613,0.006269218865782,0.0354228056967258,0.0003474184486549,0.0070941406302154,0.0003559348115231,0.0053549413569271,0.0072588236071169,7.24459532648325e-05,0.0003611183492466,0.0560370795428752,0.7410804629325867
XGBClassifier,ClassWeight,0.01,0.3913208246231079,0.4301839172840118,0.5450858473777771,0.0973055139183998,0.1439674794673919,0.1821966767311096,0.017984664067626,0.1243312731385231,0.1112256124615669,0.0224254410713911,0.1682209074497223,0.1328109502792358,0.1057929620146751,0.1132166609168052,0.0124407922849059,0.0,0.0598818100988864,0.0426211692392826,0.0637339279055595,0.0151351988315582,0.0,0.0057746176607906,0.0012733276234939,0.0046717431396245,0.0051095467060804,0.0018021223368123,0.0180962849408388,0.000113766407594,0.0076267225667834,0.0023511808831244,0.004188725259155,0.029177775606513,0.0836821570992469,1.818058080971241e-05,0.0,0.0075840922072529,0.0480181984603405,0.0037809358909726,0.0010958012426272,0.004375291056931,0.0364976041018962,0.012175403535366,0.0112486127763986,0.0003607711114455,0.000333981734002,0.0184811279177665,0.0172457210719585,0.0039792661555111,0.0,0.0006181185599416,0.010808553546667,0.0020350092090666,0.0053744749166071,0.0048777647316455,0.0052917124703526,0.0086600687354803,0.0046748919412493,0.0055949264205992,0.0065987147390842,0.0079847257584333,0.0035678520798683,0.0008224314660765,0.0004370708484202,0.0091665470972657,0.0001356723805656,0.0003794579824898,0.0016918936744332,0.0078621050342917,0.0016713975928723,0.0025334605015814,0.0131619628518819,0.013441720046103,0.0014137539546936,0.0092910509556531,0.0060231834650039,0.0012338067172095,0.0176965184509754,0.0031814465764909,0.0037422433961182,0.0106091229245066,0.0026985509321093,0.004068462178111,0.0007325858459807,0.0196748822927474,0.0042045968584716,0.0082972608506679,0.0009736897191032,0.1371535360813141,0.2637523412704468
LogisticRegression,Baseline,0.01,0.3242536648035071,0.3728636100798315,0.4420072689664679,0.0155466053794567,0.0893393662495372,0.0191428594458526,0.0094049937833739,0.0902998011131772,0.1333823373529764,0.0093601266363095,0.0676229787067075,0.0963172518474866,0.0972141064399316,0.0704045043999338,0.0085941356893938,0.0,0.0862683766827182,0.1065981962445317,0.0251072085850459,0.0518417551507972,1.6166478730814249e-18,0.0206461292145845,0.0011220975132345,0.0012715015986958,0.0128121717489885,0.0070150748182647,0.0289453817085053,1.4211955471813849e-19,0.0111402829297847,0.0002425252106429,0.0028742032847175,0.0320117623708481,0.0863086841852124,1.3368287225003347e-20,6.600620950520427e-19,0.0132975573154029,0.0802510117029494,0.006138261835632,1.828156035129381e-18,0.0042548593293466,0.0110238597020351,0.0063983411021276,0.0073149492149634,3.715753213454088e-19,9.459660584279396e-19,0.0084212600353655,0.0057405627832333,0.0036218444332412,1.2216598159676094e-20,0.0082296422791717,0.0031987049979298,0.003128133669254,0.0013514029496848,0.005906068063998,4.095426687150354e-05,0.0031385099188061,0.0116978109968247,0.0028026600171122,0.0005056589848771,0.0026298603296567,0.0037862700193,0.0014910541290815,2.3921960924044127e-19,0.0026269571202213,0.0,0.0032959834094914,1.243056785101842e-18,0.0022220511477696,0.0045715046963579,0.0017745316454903,0.0115449841610975,0.0003840939691188,0.0046959920718781,0.0063121308661214,0.0031513833997861,0.0004931903214174,0.0098815986408054,0.0012129826094749,0.0018360976191448,0.0048770612878258,0.0002196756908294,0.0004608487480078,1.8571160770350277e-19,0.0173643208373791,2.874576500763504e-05,0.0010066962899554,2.95922563348109e-19,0.0269173741399523,0.2164578830860411
LogisticRegression,RandomUnderSampler,0.01,0.1377159467500742,0.3470581508492883,0.2803583102400424,0.0220627954047618,0.1251132029365244,0.1183284049014792,0.0142329336716591,0.1237572410030001,0.11830466754719,0.0202845221286371,0.0956059696554358,0.0635442715147827,0.122512880504087,0.0650110333678233,0.0045992390826711,0.0,0.0953337094402097,0.1162411796447104,0.0815131254757425,0.0227171219099412,2.0952563919408567e-18,0.0151924371798731,0.0010309129179168,0.000853298423744,0.0105172960808382,0.0108083559784789,0.0150821317679962,1.6072038818112577e-19,0.0140744847805825,0.0009392522623954,0.0042656799467295,0.0055539457956407,0.0629307647386342,3.7690410211364264e-20,6.119401084074553e-19,0.0096094260872853,0.0736971144494796,0.002950559140485,1.916658971150646e-18,5.254221716116121e-05,0.0162640533397018,0.0007193572067196,0.0048370212340927,2.838492161339804e-19,3.916223686301277e-19,0.0196559941180929,0.0098277465312308,0.0040339039439897,9.249147901193448e-23,0.0035076588501818,0.0077962995885245,0.0031819802757063,0.0023056891315625,0.0132356931053112,0.005544684099451,0.0057324190161544,0.0150636998911076,0.0022695910071309,0.0011082589742148,0.006118459230399,0.0030395921932351,0.0001196106132207,1.222422584224072e-19,0.0022677374437912,0.0,0.0031613884648479,3.009366134059368e-18,0.0047520676156403,0.0030144951498301,0.0017773817938861,0.0008355725839399,0.0021598267858812,0.004368484684972,0.0073161720203353,0.0040445208027108,0.0001034313542966,0.0086083901557622,0.0020008661105611,0.0018253718549112,0.0095419400847861,0.001773897130465,0.0030753769826206,3.890863860537489e-19,0.0186882493670498,0.0034301303676125,7.386870832446125e-05,6.054698841662783e-19,0.0156551548510052,0.2382272759840854
LogisticRegression,SMOTEENN,0.01,0.8671488928751256,0.5667462634388803,0.9454095457499696,0.0501417919168778,0.1504198258951333,0.1465508674956349,0.0284524361060342,0.0845280060730443,0.1274570280004756,0.0239287540407241,0.0397953027038712,0.046021580213472,0.1547113484005824,0.0920653544238901,0.0239095707243504,0.0,0.0836458686770704,0.078102935666004,0.0992157714824808,0.3064971543838439,3.382902740087692e-18,0.0623009545761604,0.0038418132685811,0.0081851975267691,0.0289310128686614,0.0153787039991855,0.066094271566646,4.284752593755239e-19,0.025348753250356,0.0018360386846617,0.0004369446791646,0.0532785339319542,0.0303053774556287,3.0303900545573577e-21,1.435288178095998e-18,0.008792129214161,0.1079303587353499,0.0071980395867756,2.8416257300320532e-18,0.0120812860180936,0.0399322550605048,0.0007849790884609,0.0004127683872465,8.14990374401264e-21,1.582065575347212e-18,0.026007213977938,0.0044180400881838,0.0038431591997168,2.930330208706927e-20,0.0091841379736001,0.0064990530014547,0.006280238271257,0.0007751950295151,0.0095799716410301,0.0058825966938778,0.0073079493013521,0.0244845213567562,0.0011644075850297,0.0060563520869808,0.0075282343387435,0.0101818992874334,0.0015842708407191,5.194791349476164e-19,0.0052545922536246,0.0,0.0038719274365068,2.831888409628841e-18,0.0183857662482385,0.008863885646051,0.0077455857885747,0.0361442964667812,0.0132601786910637,0.0062446346178026,0.0057652808354137,0.0139932138834915,0.0007322958794024,0.0096135289438749,0.0009802943290876,0.0040864393077068,0.0261181554314332,0.0034766379307822,0.0054497929399089,1.8226418853116412e-19,0.0110254249934819,0.001980712840395,0.0016408828290166,3.1063227792073826e-19,0.0667118360880444,0.3230673166788909
LogisticRegression,KMeansSMOTE,0.01,0.1028864104536316,1.025077939545446,0.0481044454728467,0.091100160385972,0.2076039894511785,0.1245478839215104,0.0287593107589811,0.0842526213829902,0.152616089306792,0.0908242250141905,0.0320710111649712,0.0907856770060798,0.2221854411028488,0.047017855697135,0.4414614148539592,0.0,0.03876855227448,0.0737997247313966,0.0613298986029272,0.3493444556226834,3.327039689621425e-18,0.3955044632038275,0.000703815961334,0.0075458448256296,0.0214026926878522,0.0148430578748911,0.0407495450964406,1.2945014961919793e-18,0.084621825102709,0.0160433218621469,0.0173052136493439,0.0544562586881447,0.0130879358561296,1.8791721758457583e-20,1.2960980669340185e-18,0.0039615950442634,0.1465672815633831,0.0914762047749086,1.845004118257658e-18,0.0135928765006109,0.0656316819260201,0.1974727802906039,0.0052198604620282,1.2588368158912645e-17,1.7866482578070526e-18,0.0346612004244744,0.0048551902365389,0.0767732441297224,2.5029513466802975e-20,0.0586593015098711,0.3617328416107035,0.1386735061509024,0.0082046323488992,0.160834666469358,0.1912280089448887,0.0146257973619287,0.2690825038858637,0.0066211482775593,0.1868104094879039,0.0159070921224093,0.0135720424427335,0.0225268203896331,3.2551739651342664e-18,0.2598234256828153,0.0,0.0448489956987748,1.5406740446358163e-17,0.0114896803077406,0.0041490404587577,0.0920502858273844,0.0543351369418782,0.4542409356188044,0.0672069854589141,0.0778487390163313,0.0170820056614549,0.0094299619425447,0.1315718814788052,0.0668783653812257,0.0088699692592462,0.4768837807276301,0.0127603006871388,0.0060732023286545,3.275714616365939e-18,0.0059282797426806,0.1906583911008021,0.0012459657361919,6.838835222047722e-19,0.0662591301208059,0.3070574947918792
LogisticRegression,ClassWeight,0.01,0.6876691068355326,0.4609324466443001,0.7852829612545746,0.0127304134419418,0.1134236313464086,0.1171380166005871,0.0103459915080884,0.1028586726348355,0.1247045883332872,0.0141423594012013,0.0826313045173844,0.0755434229127168,0.1124042970406408,0.0503333712858666,0.000449257193344,0.0,0.0889896457215834,0.0895086109866154,0.0238668716937116,0.117702801592876,3.2611208793487725e-18,0.0370647278044362,0.0021937925973145,0.0034588211599087,0.0175410030190419,0.0098563160847784,0.0434437866128836,2.518572955594991e-19,0.0158086784195472,0.0008987460558095,0.0017201174328194,0.0312521048626406,0.0787811662035817,9.449846825751037e-22,1.3410952097811445e-18,0.0180906539582841,0.0838690375396035,0.0039569370841477,1.4654633420728717e-18,0.002197098494267,0.0259070133664783,0.008145710603574,0.0086611755662809,3.982685507517716e-19,6.496403457994467e-19,0.0004875528928079,0.0105078722986571,0.0054524501152357,2.868889008750109e-20,0.0074571785944825,0.0099581758562204,0.0004318590503671,0.0014791203354148,0.002235143545647,0.0028813298955004,0.003742682511852,0.0113948190598705,0.0026275498241805,0.0023521690265831,0.0028060263528841,0.003280002275802,0.0004808564229652,3.5209629291204156e-20,0.0033200016417386,0.0,0.0016447774128786,3.352727037317645e-18,0.000605722484493,0.004726194983648,0.0033077335010085,0.0035190993562432,0.0053700230572942,0.0031865011440971,0.0075822626722902,0.000211284376432,0.0003165949593485,0.0127574114949775,0.0012602086030474,0.0003166792508571,0.0010586296211253,5.039408783097877e-05,0.0008818180447549,3.0968462275333697e-19,0.0182049524733025,0.0047751599607514,0.0042750238879669,4.8121238068120215e-19,0.0194437684285415,0.2164367998494615
RandomForestClassifier,Baseline,0.01,0.0006780714980583,0.0036483719203445,0.00167569859803,0.0003158155172167,0.0012013810826963,0.0017636012771596,0.0003268781799922,0.0008676790913129,0.0007061479729169,0.0003078483128037,0.0005750404315737,0.0009202240574596,0.0006731617751436,0.0010161922607827,0.0002327708670166,0.0,0.0002570484288355,0.000600367723771,0.0002076633872432,0.000179626665236,6.793134157891041e-10,8.813331558864566e-05,2.512104320349148e-05,2.8395150448508955e-05,8.163019718311138e-05,4.423628476153913e-05,0.0001973345494467,2.3060724847506427e-06,8.822244548561362e-05,1.6124006416552094e-05,1.1821304685288327e-05,0.000116386778975,0.0007242651380118,1.1002729745499814e-07,0.0,9.268087766865376e-05,0.0006406949445756,8.635303980154859e-05,2.490503728824478e-05,6.992219097020409e-05,0.0001698367174164,5.597581824779808e-05,3.754110747838082e-05,7.058427575351592e-06,1.1222443192523191e-05,0.0001929366139978,8.022826687027484e-05,1.880450214137917e-05,0.0,1.6301867676707434e-06,9.095296423770205e-05,6.803027823390233e-05,2.105619271054951e-05,9.826585753908549e-05,4.062312101939848e-05,6.178944117197715e-05,0.0001098489668,1.1662210706756231e-05,5.672940925491613e-05,0.000113713727896,0.0001104757321138,2.554880252945648e-05,9.039823325091673e-06,7.223776144693424e-05,4.757013967529176e-06,1.0920382286874805e-05,1.0466990097449253e-05,8.411296056601469e-05,4.349451020269072e-05,6.650282327822675e-05,0.0002498134502455,0.0001202899551069,4.445892884390733e-05,1.5021139056713014e-05,9.714350320053831e-05,2.2685949907264403e-05,2.233436970231308e-05,1.1571652518879148e-05,6.510414881978879e-05,0.0001627267941628,2.7320394437050942e-05,7.878779760797018e-05,3.768353223519356e-06,3.045541856300292e-05,5.006252659425794e-05,3.998920051202364e-05,3.875064049200475e-06,0.0009831337150347,0.0018904839110094
