experiment_id,Imbalance ratio,Model,Sampler,N attacked,Threshold,Attack success rate (GA),Mean changed features (GA),Mean prob reduction (success) (GA),Mean prob reduction (all) (GA),Median queries (GA),Median runtime (GA),Attack success rate (ZOO),Mean changed features (ZOO),Mean prob reduction (success) (ZOO),Mean prob reduction (all) (ZOO),Median queries (ZOO),Median runtime (ZOO)
0,0.01,XGBClassifier,Baseline,100,0.0396,0.8,1.975,0.0236,0.0235,51.0,0.2664,0.42,1.8095,0.0093,0.01,4204.0,15.3652
1,0.01,XGBClassifier,RandomUnderSampler,100,0.8409,0.91,2.0,0.122,0.1154,51.0,0.267,0.5,1.84,0.0403,0.0301,3514.5,12.754
2,0.01,XGBClassifier,SMOTEENN,100,0.0613,0.57,1.9123,0.0255,0.03,176.0,0.7232,0.14,1.9286,0.0117,0.0082,4204.0,15.1979
3,0.01,XGBClassifier,KMeansSMOTE,100,0.0384,0.56,1.9643,0.0217,0.0323,251.0,1.2864,0.07,1.8571,0.0091,0.0083,4204.0,15.633
4,0.01,XGBClassifier,ClassWeight,100,0.6766,0.86,2.0,0.1531,0.1464,51.0,0.2662,0.44,1.8636,0.0609,0.0484,4204.0,15.3601
5,0.01,LogisticRegression,Baseline,100,0.0327,0.22,2.0,0.0025,0.0007,25001.0,79.0999,0.04,1.5,0.0023,0.0003,4204.0,13.3513
6,0.01,LogisticRegression,RandomUnderSampler,100,0.6997,0.19,2.0,0.0268,0.0224,25001.0,79.0077,0.18,2.0,0.0144,0.0199,4204.0,13.3595
7,0.01,LogisticRegression,SMOTEENN,100,0.8232,0.2,2.0,0.0245,0.0107,25001.0,80.2058,0.17,1.4118,0.0085,0.0076,4204.0,13.4193
8,0.01,LogisticRegression,KMeansSMOTE,100,0.9271,0.31,2.0,0.0203,0.0093,25001.0,79.8792,0.26,1.6538,0.0101,0.0057,4204.0,13.5024
9,0.01,LogisticRegression,ClassWeight,100,0.7832,0.2,2.0,0.0236,0.0131,25001.0,81.2594,0.18,1.7222,0.0087,0.0102,4204.0,13.4778
10,0.01,RandomForestClassifier,Baseline,100,0.0266,0.51,1.9804,0.009,0.0086,1176.0,59.2988,0.22,1.7273,0.0042,0.0038,4204.0,211.5565
11,0.01,RandomForestClassifier,RandomUnderSampler,100,0.6746,0.6,2.0,0.0559,0.0489,51.0,2.8663,0.21,1.7619,0.0133,0.0122,4204.0,218.2651
15,0.01,NeuralNetClassifier,Baseline,100,0.026,0.31,2.0,0.0038,0.0055,25001.0,88.2699,0.06,1.3333,0.0019,0.0041,4204.0,14.941
16,0.01,NeuralNetClassifier,RandomUnderSampler,100,0.7973,0.34,2.0,0.0279,0.021,25001.0,92.2659,0.31,1.8387,0.0145,0.0162,4204.0,15.5893
17,0.01,NeuralNetClassifier,SMOTEENN,100,0.7975,0.44,1.9318,0.0871,0.0541,25001.0,90.2298,0.31,1.7097,0.0336,0.0243,4204.0,15.2613
18,0.01,NeuralNetClassifier,KMeansSMOTE,100,0.5736,0.26,2.0,0.6089,0.1929,25001.0,90.0319,0.22,1.6818,0.2725,0.0811,4204.0,15.2343
19,0.01,NeuralNetClassifier,ClassWeight,100,0.7544,0.32,2.0,0.0357,0.0256,25001.0,90.1175,0.32,1.875,0.0202,0.0206,4204.0,15.2614
20,0.02,XGBClassifier,Baseline,100,0.0502,0.63,1.9841,0.024,0.0266,51.0,0.2682,0.25,1.88,0.0092,0.0098,4204.0,15.5219
21,0.02,XGBClassifier,RandomUnderSampler,100,0.7771,0.76,1.9605,0.1142,0.1018,51.0,0.2657,0.31,1.9032,0.0401,0.0303,4204.0,15.427
22,0.02,XGBClassifier,SMOTEENN,100,0.1095,0.44,1.9545,0.042,0.0478,25001.0,94.383,0.08,1.5,0.0211,0.0106,4204.0,15.8865
23,0.02,XGBClassifier,KMeansSMOTE,100,0.0552,0.44,1.9773,0.0176,0.0225,25001.0,90.9914,0.15,1.8667,0.0069,0.0051,4204.0,15.3209
24,0.02,XGBClassifier,ClassWeight,100,0.7236,0.66,1.9848,0.1205,0.1035,51.0,0.2679,0.3,1.7333,0.0418,0.0306,4204.0,15.5649
25,0.02,LogisticRegression,Baseline,100,0.0424,0.14,2.0,0.0031,0.001,25001.0,79.729,0.06,1.5,0.0029,0.0008,4204.0,13.4554
26,0.02,LogisticRegression,RandomUnderSampler,100,0.6984,0.24,2.0,0.0277,0.0222,25001.0,80.6258,0.23,1.8261,0.0157,0.0193,4204.0,13.6876
27,0.02,LogisticRegression,SMOTEENN,100,0.7762,0.1,2.0,0.0256,0.0138,25001.0,79.3879,0.07,1.4286,0.0088,0.0124,4204.0,13.3738
28,0.02,LogisticRegression,KMeansSMOTE,100,0.8563,0.06,2.0,0.0069,0.0026,25001.0,80.7136,0.06,1.0,0.0023,0.0023,4204.0,13.4486
29,0.02,LogisticRegression,ClassWeight,100,0.7059,0.16,2.0,0.0271,0.0185,25001.0,80.1433,0.13,1.6923,0.0151,0.0166,4204.0,13.2868
30,0.02,RandomForestClassifier,Baseline,100,0.0501,0.69,2.0,0.0152,0.015,51.0,2.7316,0.28,1.7143,0.0051,0.0064,4204.0,211.8689
31,0.02,RandomForestClassifier,RandomUnderSampler,100,0.6811,0.6,1.9833,0.0643,0.0526,51.0,2.7793,0.19,1.6842,0.0243,0.0141,4204.0,212.4172
35,0.02,NeuralNetClassifier,Baseline,100,0.0432,0.3,2.0,0.0046,0.0079,25001.0,90.5406,0.06,1.5,0.0019,0.0065,4204.0,15.3682
36,0.02,NeuralNetClassifier,RandomUnderSampler,100,0.7586,0.38,2.0,0.04,0.0339,25001.0,92.0669,0.36,1.8333,0.0214,0.0266,4204.0,15.2505
37,0.02,NeuralNetClassifier,SMOTEENN,100,0.7528,0.39,2.0,0.0878,0.0554,25001.0,88.7312,0.35,1.8571,0.0456,0.0328,4204.0,15.0152
38,0.02,NeuralNetClassifier,KMeansSMOTE,100,0.4446,0.25,2.0,0.2181,0.1034,25001.0,90.4526,0.21,1.9524,0.1183,0.0695,4204.0,15.3473
39,0.02,NeuralNetClassifier,ClassWeight,100,0.7406,0.31,2.0,0.0428,0.0336,25001.0,90.275,0.26,1.9615,0.0237,0.0257,4204.0,15.0592
40,0.05,XGBClassifier,Baseline,100,0.097,0.54,2.0,0.0433,0.0459,176.0,0.73,0.2,1.95,0.0156,0.015,4204.0,15.5131
41,0.05,XGBClassifier,RandomUnderSampler,100,0.6923,0.52,2.0,0.1063,0.0865,126.0,0.5463,0.14,1.8571,0.0417,0.0242,4204.0,15.3394
42,0.05,XGBClassifier,SMOTEENN,100,0.1875,0.3,2.0,0.0498,0.0633,25001.0,90.7484,0.09,1.7778,0.0238,0.0124,4204.0,15.0593
45,0.05,LogisticRegression,Baseline,100,0.0923,0.15,2.0,0.0134,0.0049,25001.0,79.5974,0.08,1.0,0.0096,0.004,4204.0,13.3965
46,0.05,LogisticRegression,RandomUnderSampler,100,0.6766,0.2,2.0,0.0346,0.0223,25001.0,81.6426,0.18,1.8889,0.0177,0.0189,4204.0,13.6028
47,0.05,LogisticRegression,SMOTEENN,100,0.8059,0.13,2.0,0.0317,0.0157,25001.0,82.421,0.13,1.4615,0.0161,0.0136,4204.0,13.9111
48,0.05,LogisticRegression,KMeansSMOTE,100,0.6921,0.18,2.0,0.0704,0.0457,25001.0,82.0777,0.18,2.0,0.0261,0.0377,4204.0,13.8456
49,0.05,LogisticRegression,ClassWeight,100,0.6768,0.17,2.0,0.0488,0.0226,25001.0,79.9012,0.17,1.8824,0.0334,0.0199,4204.0,13.3762
51,0.05,RandomForestClassifier,RandomUnderSampler,100,0.6356,0.46,2.0,0.0618,0.0528,25001.0,1299.0028,0.15,1.8667,0.0205,0.0157,4204.0,218.0529
55,0.05,NeuralNetClassifier,Baseline,100,0.0892,0.27,2.0,0.0145,0.0189,25001.0,88.755,0.2,1.5,0.0069,0.015,4204.0,14.9511
56,0.05,NeuralNetClassifier,RandomUnderSampler,100,0.6601,0.27,2.0,0.0577,0.0403,25001.0,89.9221,0.26,1.9615,0.0303,0.032,4204.0,15.2683
57,0.05,NeuralNetClassifier,SMOTEENN,100,0.6814,0.28,2.0,0.1025,0.055,25001.0,88.0628,0.25,1.76,0.0615,0.0381,4204.0,14.919
59,0.05,NeuralNetClassifier,ClassWeight,100,0.646,0.32,2.0,0.0521,0.0383,25001.0,90.5774,0.31,1.9677,0.0251,0.0292,4204.0,15.0104
60,0.1,XGBClassifier,Baseline,100,0.1475,0.33,2.0,0.0487,0.0557,25001.0,89.5113,0.14,1.7143,0.0183,0.0177,4204.0,15.0222
61,0.1,XGBClassifier,RandomUnderSampler,100,0.6066,0.43,1.9767,0.0894,0.0769,25001.0,90.2101,0.13,1.8462,0.0364,0.0233,4204.0,15.1553
62,0.1,XGBClassifier,SMOTEENN,100,0.2826,0.26,2.0,0.0693,0.0793,25001.0,88.5341,0.07,1.8571,0.0226,0.0146,4204.0,14.871
63,0.1,XGBClassifier,KMeansSMOTE,100,0.1484,0.31,1.9677,0.0352,0.0441,25001.0,90.7258,0.04,1.5,0.0152,0.0114,4204.0,15.0894
64,0.1,XGBClassifier,ClassWeight,100,0.6045,0.44,2.0,0.0926,0.0776,25001.0,91.0628,0.1,2.0,0.0277,0.0231,4204.0,15.3613
65,0.1,LogisticRegression,Baseline,100,0.1344,0.13,2.0,0.0165,0.0124,25001.0,80.3616,0.08,1.25,0.0104,0.0115,4204.0,13.3345
66,0.1,LogisticRegression,RandomUnderSampler,100,0.5891,0.17,2.0,0.0404,0.0239,25001.0,80.9052,0.16,1.875,0.0235,0.0209,4204.0,13.3946
67,0.1,LogisticRegression,SMOTEENN,100,0.7797,0.15,2.0,0.034,0.0196,25001.0,78.9754,0.14,1.7143,0.0119,0.0162,4204.0,13.3053
68,0.1,LogisticRegression,KMeansSMOTE,100,0.1085,0.06,2.0,0.0322,0.0324,25001.0,79.9411,0.05,1.8,0.0242,0.0319,4204.0,13.5521
69,0.1,LogisticRegression,ClassWeight,100,0.5933,0.13,2.0,0.0416,0.0232,25001.0,80.8274,0.13,1.7692,0.0173,0.02,4204.0,13.6739
75,0.1,NeuralNetClassifier,Baseline,100,0.1419,0.26,2.0,0.0157,0.0296,25001.0,89.1268,0.21,1.4762,0.0101,0.0263,4204.0,14.847
76,0.1,NeuralNetClassifier,RandomUnderSampler,100,0.5775,0.29,2.0,0.0461,0.0386,25001.0,89.4666,0.28,1.9286,0.0311,0.0336,4204.0,15.1171
77,0.1,NeuralNetClassifier,SMOTEENN,100,0.6591,0.22,2.0,0.0856,0.0533,25001.0,92.083,0.2,1.75,0.0408,0.0389,4204.0,15.6264
79,0.1,NeuralNetClassifier,ClassWeight,100,0.5534,0.19,2.0,0.0502,0.0418,25001.0,91.1527,0.17,1.9412,0.0317,0.0363,4204.0,15.1479
80,0.2,XGBClassifier,Baseline,100,0.2078,0.24,2.0,0.0594,0.0695,25001.0,92.3833,0.12,2.0,0.0246,0.0244,4204.0,15.2381
81,0.2,XGBClassifier,RandomUnderSampler,100,0.5297,0.31,2.0,0.0911,0.0774,25001.0,91.3433,0.11,2.0,0.0447,0.0219,4204.0,15.4325
82,0.2,XGBClassifier,SMOTEENN,100,0.384,0.15,2.0,0.0789,0.0709,25001.0,91.0863,0.04,2.0,0.043,0.0151,4204.0,15.113
83,0.2,XGBClassifier,KMeansSMOTE,100,0.2134,0.23,2.0,0.0468,0.0537,25001.0,89.2681,0.03,1.3333,0.0194,0.0132,4204.0,15.0092
84,0.2,XGBClassifier,ClassWeight,100,0.5191,0.16,1.9375,0.1068,0.0734,25001.0,91.2524,0.03,1.3333,0.0336,0.0222,4204.0,15.3365
85,0.2,LogisticRegression,Baseline,100,0.1993,0.11,2.0,0.0152,0.0214,25001.0,80.15,0.1,1.8,0.0097,0.0208,4204.0,13.3682
86,0.2,LogisticRegression,RandomUnderSampler,100,0.5015,0.21,2.0,0.0436,0.0293,25001.0,80.3848,0.21,1.9524,0.0265,0.0257,4204.0,13.6314
87,0.2,LogisticRegression,SMOTEENN,100,0.7228,0.13,2.0,0.0488,0.0223,25001.0,82.7841,0.13,1.8462,0.0359,0.0206,4204.0,13.9418
88,0.2,LogisticRegression,KMeansSMOTE,100,0.2038,0.02,2.0,0.0201,0.0191,25001.0,79.7755,0.02,1.5,0.009,0.0189,4204.0,13.3907
89,0.2,LogisticRegression,ClassWeight,100,0.5058,0.15,2.0,0.0346,0.0272,25001.0,81.2574,0.15,1.8667,0.0183,0.0248,4204.0,13.7448
95,0.2,NeuralNetClassifier,Baseline,100,0.2192,0.19,2.0,0.0236,0.0304,25001.0,89.4313,0.18,1.7222,0.012,0.0255,4204.0,14.9281
96,0.2,NeuralNetClassifier,RandomUnderSampler,100,0.527,0.09,2.0,0.0416,0.0361,25001.0,90.3022,0.08,1.75,0.0141,0.0314,4204.0,15.1027
97,0.2,NeuralNetClassifier,SMOTEENN,100,0.6796,0.09,2.0,0.0747,0.032,25001.0,88.5196,0.09,1.8889,0.0475,0.025,4204.0,15.1038
98,0.2,NeuralNetClassifier,KMeansSMOTE,100,0.4174,0.12,2.0,0.0819,0.0488,25001.0,89.1492,0.11,2.0,0.0481,0.0416,4204.0,15.1479
99,0.2,NeuralNetClassifier,ClassWeight,100,0.5188,0.08,2.0,0.0404,0.0331,25001.0,90.3849,0.07,1.8571,0.0264,0.0293,4204.0,15.3045
