experiment_id,Imbalance ratio,Model,Sampler,Feature,Group,Role,Threshold used,DIR,n_samples,favourable_label_rate,default_label_rate
0,0.01,XGBClassifier,Baseline,emp_length,emp_length < 5 years,unprivileged,5.0,0.9997626847478897,327104.0,0.9898533799647818,0.0101466200352181
0,0.01,XGBClassifier,Baseline,emp_length,emp_length >= 5 years,privileged,5.0,0.9997626847478897,542997.0,0.9900883430295196,0.0099116569704805
0,0.01,XGBClassifier,Baseline,annual_inc,higher annual income,privileged,11.082157933374816,0.9975787900920918,454893.0,0.99114517040271,0.0088548295972899
0,0.01,XGBClassifier,Baseline,annual_inc,lower annual income,unprivileged,11.082157933374816,0.9975787900920918,415208.0,0.9887453998959558,0.0112546001040442
1,0.01,XGBClassifier,RandomUnderSampler,emp_length,emp_length < 5 years,unprivileged,5.0,1.0060942142408305,6663.0,0.5018760318174996,0.4981239681825004
1,0.01,XGBClassifier,RandomUnderSampler,emp_length,emp_length >= 5 years,privileged,5.0,1.0060942142408305,10739.0,0.4988360182512338,0.5011639817487662
1,0.01,XGBClassifier,RandomUnderSampler,annual_inc,higher annual income,privileged,11.082157933374816,0.8852377284430001,8586.0,0.5308641975308642,0.4691358024691358
1,0.01,XGBClassifier,RandomUnderSampler,annual_inc,lower annual income,unprivileged,11.082157933374816,0.8852377284430001,8816.0,0.4699410163339383,0.5300589836660617
2,0.01,XGBClassifier,SMOTEENN,emp_length,emp_length < 5 years,unprivileged,5.0,0.9572147494530026,635752.0,0.463358353571833,0.5366416464281669
2,0.01,XGBClassifier,SMOTEENN,emp_length,emp_length >= 5 years,privileged,5.0,0.9572147494530026,1008310.0,0.4840693834237486,0.5159306165762514
2,0.01,XGBClassifier,SMOTEENN,annual_inc,higher annual income,privileged,11.082157933374816,0.8073341825574085,778297.0,0.5298144538652982,0.4701855461347018
2,0.01,XGBClassifier,SMOTEENN,annual_inc,lower annual income,unprivileged,11.082157933374816,0.8073341825574085,865765.0,0.4277373190184403,0.5722626809815596
3,0.01,XGBClassifier,KMeansSMOTE,emp_length,emp_length < 5 years,unprivileged,5.0,1.0196025959117452,639748.0,0.5061133446294478,0.4938866553705521
3,0.01,XGBClassifier,KMeansSMOTE,emp_length,emp_length >= 5 years,privileged,5.0,1.0196025959117452,1083065.0,0.4963829502384437,0.5036170497615563
3,0.01,XGBClassifier,KMeansSMOTE,annual_inc,higher annual income,privileged,11.082157933374816,0.7188794843203238,760079.0,0.5931817613695418,0.4068182386304581
3,0.01,XGBClassifier,KMeansSMOTE,annual_inc,lower annual income,unprivileged,11.082157933374816,0.7188794843203238,962734.0,0.4264261987215575,0.5735738012784425
4,0.01,XGBClassifier,ClassWeight,emp_length,emp_length < 5 years,unprivileged,5.0,0.9997626847478897,327104.0,0.9898533799647818,0.0101466200352181
4,0.01,XGBClassifier,ClassWeight,emp_length,emp_length >= 5 years,privileged,5.0,0.9997626847478897,542997.0,0.9900883430295196,0.0099116569704805
4,0.01,XGBClassifier,ClassWeight,annual_inc,higher annual income,privileged,11.082157933374816,0.9975787900920918,454893.0,0.99114517040271,0.0088548295972899
4,0.01,XGBClassifier,ClassWeight,annual_inc,lower annual income,unprivileged,11.082157933374816,0.9975787900920918,415208.0,0.9887453998959558,0.0112546001040442
5,0.01,LogisticRegression,Baseline,emp_length,emp_length < 5 years,unprivileged,5.0,0.9997626847478897,327104.0,0.9898533799647818,0.0101466200352181
5,0.01,LogisticRegression,Baseline,emp_length,emp_length >= 5 years,privileged,5.0,0.9997626847478897,542997.0,0.9900883430295196,0.0099116569704805
5,0.01,LogisticRegression,Baseline,annual_inc,higher annual income,privileged,11.082157933374816,0.9975787900920918,454893.0,0.99114517040271,0.0088548295972899
5,0.01,LogisticRegression,Baseline,annual_inc,lower annual income,unprivileged,11.082157933374816,0.9975787900920918,415208.0,0.9887453998959558,0.0112546001040442
6,0.01,LogisticRegression,RandomUnderSampler,emp_length,emp_length < 5 years,unprivileged,5.0,1.0060942142408305,6663.0,0.5018760318174996,0.4981239681825004
6,0.01,LogisticRegression,RandomUnderSampler,emp_length,emp_length >= 5 years,privileged,5.0,1.0060942142408305,10739.0,0.4988360182512338,0.5011639817487662
6,0.01,LogisticRegression,RandomUnderSampler,annual_inc,higher annual income,privileged,11.082157933374816,0.8852377284430001,8586.0,0.5308641975308642,0.4691358024691358
6,0.01,LogisticRegression,RandomUnderSampler,annual_inc,lower annual income,unprivileged,11.082157933374816,0.8852377284430001,8816.0,0.4699410163339383,0.5300589836660617
7,0.01,LogisticRegression,SMOTEENN,emp_length,emp_length < 5 years,unprivileged,5.0,0.957116972249724,635869.0,0.4633595913623718,0.5366404086376282
7,0.01,LogisticRegression,SMOTEENN,emp_length,emp_length >= 5 years,privileged,5.0,0.957116972249724,1008289.0,0.4841201282568787,0.5158798717431212
7,0.01,LogisticRegression,SMOTEENN,annual_inc,higher annual income,privileged,11.082157933374816,0.8076414498522902,778493.0,0.5297427208722494,0.4702572791277506
7,0.01,LogisticRegression,SMOTEENN,annual_inc,lower annual income,unprivileged,11.082157933374816,0.8076414498522902,865665.0,0.4278421791339606,0.5721578208660394
8,0.01,LogisticRegression,KMeansSMOTE,emp_length,emp_length < 5 years,unprivileged,5.0,1.0196025959117452,639748.0,0.5061133446294478,0.4938866553705521
8,0.01,LogisticRegression,KMeansSMOTE,emp_length,emp_length >= 5 years,privileged,5.0,1.0196025959117452,1083065.0,0.4963829502384437,0.5036170497615563
8,0.01,LogisticRegression,KMeansSMOTE,annual_inc,higher annual income,privileged,11.082157933374816,0.7188794843203238,760079.0,0.5931817613695418,0.4068182386304581
8,0.01,LogisticRegression,KMeansSMOTE,annual_inc,lower annual income,unprivileged,11.082157933374816,0.7188794843203238,962734.0,0.4264261987215575,0.5735738012784425
9,0.01,LogisticRegression,ClassWeight,emp_length,emp_length < 5 years,unprivileged,5.0,0.9997626847478897,327104.0,0.9898533799647818,0.0101466200352181
9,0.01,LogisticRegression,ClassWeight,emp_length,emp_length >= 5 years,privileged,5.0,0.9997626847478897,542997.0,0.9900883430295196,0.0099116569704805
